2024-05-28 21:15:00 [MSBuild, CPU Usage: 2.7 s., Memory Usage: 4.0 MB]
2024-05-28 21:15:00 [VBCSCompiler, CPU Usage: 1.0 s., Memory Usage: 20.0 MB]
2024-05-28 21:15:00 [WpfSurface, CPU Usage: 1.5 s., Memory Usage: 38.0 MB]
2024-05-28 21:15:00 [smartscreen, CPU Usage: 0.1 s., Memory Usage: 2.0 MB]
2024-05-28 21:15:00 [notepad, CPU Usage: 0.2 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:00 [TaskManager, CPU Usage: 3.0 s., Memory Usage: 190.0 MB]
2024-05-28 21:15:00 [SearchProtocolHost, CPU Usage: 0.0 s., Memory Usage: 13.0 MB]
2024-05-28 21:15:00 [SearchFilterHost, CPU Usage: 0.0 s., Memory Usage: 7.0 MB]
2024-05-28 21:15:10 [System, CPU Usage: 307.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [Registry, CPU Usage: 1.0 s., Memory Usage: 3.0 MB]
2024-05-28 21:15:10 [smss, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [csrss, CPU Usage: 4.6 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [wininit, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [services, CPU Usage: 6.3 s., Memory Usage: 3.0 MB]
2024-05-28 21:15:10 [lsass, CPU Usage: 3.1 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:10 [svchost, CPU Usage: 51.9 s., Memory Usage: 88.0 MB]
2024-05-28 21:15:10 [fontdrvhost, CPU Usage: 0.6 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [WUDFHost, CPU Usage: 0.7 s., Memory Usage: 2.0 MB]
2024-05-28 21:15:10 [winlogon, CPU Usage: 0.2 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:10 [dwm, CPU Usage: 114.7 s., Memory Usage: 60.0 MB]
2024-05-28 21:15:10 [IntelCpHDCPSvc, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [IntelCpHeciSvc, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [igfxCUIService, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [NVDisplay.Container, CPU Usage: 15.2 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:10 [svchost, CPU Usage: 1.3 s., Memory Usage: 10.0 MB]
2024-05-28 21:15:10 [Memory Compression, CPU Usage: 144.5 s., Memory Usage: 456.0 MB]
2024-05-28 21:15:10 [WmiPrvSE, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [wlanext, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [conhost, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [OneApp.IGCC.WinService, CPU Usage: 0.9 s., Memory Usage: 3.0 MB]
2024-05-28 21:15:10 [FMService64, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [DAX3API, CPU Usage: 1.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [Lenovo.Modern.ImController, CPU Usage: 2.3 s., Memory Usage: 6.0 MB]
2024-05-28 21:15:10 [LenovoUtilityService, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [esif_uf, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [OfficeClickToRun, CPU Usage: 1.3 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:10 [LMS, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [MpDefenderCoreService, CPU Usage: 1.0 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:10 [nvcontainer, CPU Usage: 33.4 s., Memory Usage: 18.0 MB]
2024-05-28 21:15:10 [RtkAudUService64, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [RstMwService, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [MsMpEng, CPU Usage: 124.6 s., Memory Usage: 104.0 MB]
2024-05-28 21:15:10 [dasHost, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [jhi_service, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [dllhost, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [NisSrv, CPU Usage: 0.1 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:10 [SgrmBroker, CPU Usage: 0.2 s., Memory Usage: 2.0 MB]
2024-05-28 21:15:10 [SearchIndexer, CPU Usage: 4.2 s., Memory Usage: 9.0 MB]
2024-05-28 21:15:10 [sihost, CPU Usage: 1.1 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:10 [PresentationFontCache, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [FnHotkeyCapsLKNumLK, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [taskhostw, CPU Usage: 0.5 s., Memory Usage: 3.0 MB]
2024-05-28 21:15:10 [FnHotkeyUtility, CPU Usage: 0.5 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [ctfmon, CPU Usage: 3.8 s., Memory Usage: 7.0 MB]
2024-05-28 21:15:10 [unsecapp, CPU Usage: 0.0 s., Memory Usage: 2.0 MB]
2024-05-28 21:15:10 [explorer, CPU Usage: 26.1 s., Memory Usage: 66.0 MB]
2024-05-28 21:15:10 [igfxEM, CPU Usage: 2.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [StartMenuExperienceHost, CPU Usage: 1.5 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:10 [RuntimeBroker, CPU Usage: 2.7 s., Memory Usage: 12.0 MB]
2024-05-28 21:15:10 [nvsphelper64, CPU Usage: 1.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [NVIDIA Overlay, CPU Usage: 6.0 s., Memory Usage: 29.0 MB]
2024-05-28 21:15:10 [SearchApp, CPU Usage: 9.3 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [memreduct, CPU Usage: 1.3 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:10 [firefox, CPU Usage: 610.5 s., Memory Usage: 485.0 MB]
2024-05-28 21:15:10 [TextInputHost, CPU Usage: 0.8 s., Memory Usage: 6.0 MB]
2024-05-28 21:15:10 [SecurityHealthService, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [cmd, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [LSB, CPU Usage: 0.3 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [UserOOBEBroker, CPU Usage: 0.1 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:10 [SDXHelper, CPU Usage: 1.0 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:10 [LockApp, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [WINWORD, CPU Usage: 187.1 s., Memory Usage: 113.0 MB]
2024-05-28 21:15:10 [ai, CPU Usage: 0.3 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [devenv, CPU Usage: 154.9 s., Memory Usage: 291.0 MB]
2024-05-28 21:15:10 [PerfWatson2, CPU Usage: 3.3 s., Memory Usage: 20.0 MB]
2024-05-28 21:15:10 [Microsoft.ServiceHub.Controller, CPU Usage: 2.5 s., Memory Usage: 11.0 MB]
2024-05-28 21:15:10 [ServiceHub.VSDetouredHost, CPU Usage: 1.1 s., Memory Usage: 14.0 MB]
2024-05-28 21:15:10 [ServiceHub.IdentityHost, CPU Usage: 1.9 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:10 [ServiceHub.SettingsHost, CPU Usage: 1.9 s., Memory Usage: 18.0 MB]
2024-05-28 21:15:10 [ServiceHub.ThreadedWaitDialog, CPU Usage: 1.1 s., Memory Usage: 13.0 MB]
2024-05-28 21:15:10 [ServiceHub.IndexingService, CPU Usage: 1.6 s., Memory Usage: 7.0 MB]
2024-05-28 21:15:10 [ServiceHub.RoslynCodeAnalysisService, CPU Usage: 21.5 s., Memory Usage: 46.0 MB]
2024-05-28 21:15:10 [ServiceHub.Host.AnyCPU, CPU Usage: 3.9 s., Memory Usage: 17.0 MB]
2024-05-28 21:15:10 [ServiceHub.TestWindowStoreHost, CPU Usage: 0.8 s., Memory Usage: 13.0 MB]
2024-05-28 21:15:10 [ServiceHub.IntellicodeModelService, CPU Usage: 1.0 s., Memory Usage: 2.0 MB]
2024-05-28 21:15:10 [ServiceHub.Host.dotnet.x64, CPU Usage: 3.2 s., Memory Usage: 6.0 MB]
2024-05-28 21:15:10 [ShellExperienceHost, CPU Usage: 0.5 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [ApplicationFrameHost, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [RtkUWP, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:10 [audiodg, CPU Usage: 19.8 s., Memory Usage: 7.0 MB]
2024-05-28 21:15:10 [Telegram, CPU Usage: 9.8 s., Memory Usage: 14.0 MB]
2024-05-28 21:15:10 [MSBuild, CPU Usage: 2.7 s., Memory Usage: 4.0 MB]
2024-05-28 21:15:10 [VBCSCompiler, CPU Usage: 1.0 s., Memory Usage: 20.0 MB]
2024-05-28 21:15:10 [WpfSurface, CPU Usage: 1.5 s., Memory Usage: 38.0 MB]
